"duration between client requests (ms)","computation time","server request time","client request time"
"0","35","252","280"
"10","28","172","176"
"20","29","154","157"
"30","28","144","147"
"40","27","127","130"
"50","29","135","138"
"60","27","114","117"
"70","27","102","105"
"80","27","95","99"
"90","27","84","87"
"100","27","74","77"
