"duration between client requests (ms)","computation time","server request time","client request time"
"0","40","246","271"
"10","31","180","188"
"20","30","161","167"
"30","29","146","152"
"40","29","136","142"
"50","29","121","126"
"60","29","119","124"
"70","29","110","116"
"80","28","97","103"
"90","28","86","91"
"100","29","79","84"
